net,length_um
net8,187.88
net10,149.24
clk,135.67
net9,132.72
net7,113.88
net6,89.68
net5,58.46
net1,53.36
_01_,40.205
_02_,34.865
_00_,32.44
net2,31.98
net4,30.64
clknet_1_0__leaf_clk,20.5
clknet_1_1__leaf_clk,20.02
clknet_0_clk,19.46
D[3],11.34
D[4],11.34
D[5],11.34
D[6],11.34
D[7],11.34
D[1],10.42
D[2],10.42
_06_,9.74
O[2],8.96
net11,8.72
net3,8.64
O[0],8.5
O[1],8.5
_04_,7.58
_03_,4.14
_05_,2.5
_07_,1.7
